"id","code","name","parent_id/id"
"cat_2412","2412","Професіонали в галузі праці та зайнятості","cat_241"
"cat_2412_1","2412.1","Наукові співробітники (праця, зайнятість)","cat_2412"
"cat_2412_2","2412.2","Професіонали в галузі праці та зайнятості","cat_2412"
"cat_2413","2413","Професіонали, зайняті роботою з цінними паперами","cat_241"
"cat_2413_1","2413.1","Наукові співробітники (біржові операції)","cat_2413"
"cat_2413_2","2413.2","Професіонали у сфері біржової діяльності","cat_2413"
"cat_2414","2414","Професіонали з питань фінансово-економічної безпеки підприємств, установ та організацій","cat_241"
"cat_2414_1","2414.1","Наукові співробітники (фінансово-економічна безпека підприємств, установ та організацій)","cat_2414"
"cat_2414_2","2414.2","Професіонали з фінансово-економічної безпеки","cat_2414"
"cat_2419","2419","Професіонали у сфері державної служби, маркетингу, ефективності господарської діяльності, раціоналізації виробництва, інтелектуальної власності та інноваційної діяльності","cat_241"
"cat_2419_1","2419.1","Наукові співробітники (маркетинг, ефективність господарської діяльності, раціоналізація виробництва, інтелектуальна власність)","cat_2419"
"cat_2419_2","2419.2","Професіонали у сфері маркетингу, ефективності господарської діяльності, раціоналізації виробництва, інтелектуальної власності та інноваційної діяльності","cat_2419"
"cat_2419_3","2419.3","Професіонали державної служби та місцевого самоврядування","cat_2419"
"cat_242","242","Професіонали в галузі правознавства, прокурорського нагляду, правосуддя та правоохоронної діяльності","cat_24"
"cat_2421","2421","Професіонали в галузі правознавства та прокурорського нагляду","cat_242"
"cat_2421_1","2421.1","Наукові співробітники (правознавство)","cat_2421"
"cat_2421_2","2421.2","Адвокати та прокурори","cat_2421"
"cat_2422","2422","Судді","cat_242"
"cat_2423","2423","Професіонали в галузі правоохоронної діяльності","cat_242"
"cat_2424","2424","Професіонали у сфері виконання кримінальних покарань (пенітенціарна система, пробація тощо)","cat_242"
"cat_2426","2426","Слідчі (поліція)","cat_242"
"cat_2427","2427","Військовослужбовці (офіцерський склад) (прикордонна служба)","cat_242"
"cat_2429","2429","Інші професіонали в галузі правознавства","cat_242"
"cat_243","243","Професіонали в сфері архівної справи, музеєзнавства, бібліотечної справи, інформації та кінопрограм","cat_24"
"cat_2431","2431","Професіонали в галузі архівної справи, зберігання музейних та бібліотечних фондів","cat_243"
"cat_2431_1","2431.1","Наукові співробітники (архівна справа, музеєзнавство)","cat_2431"
"cat_2431_2","2431.2","Архіваріуси та зберігачі у музеях та бібліотеках","cat_2431"
"cat_2432","2432","Професіонали у сфері бібліотечної справи та кінопрограм","cat_243"
